time,power,irradiance,rh,slp,temp,vis,wind_speed,wind_direction
2021-04-12 07:00:00,286.0,17.083,90.738,1007.94913,20.958,15.99,1.8818,3.6675
2021-04-12 08:00:00,1402.0,15.429,88.58,1008.19913,21.795,15.989,0.60342,65.785
2021-04-12 09:00:00,3182.0,17.3,79.975,1008.09913,23.605,15.989,1.1912,16.102
2021-04-12 10:00:00,5907.0,8.0436,81.307,1007.94913,23.553,15.993,0.98324,112.2
2021-04-12 11:00:00,13743.0,5.398,78.241,1007.77913,24.477,15.992,2.6077,122.96
2021-04-12 12:00:00,16728.0,8.1522,75.214,1007.53913,25.326,15.992,2.1831,107.94
2021-04-12 13:00:00,17311.0,8.151,74.702,1007.23913,25.586,15.995,1.6511,105.03
2021-04-12 14:00:00,16454.0,8.4815,75.55,1006.86913,25.619,15.995,3.2642,127.69
2021-04-12 15:00:00,17971.0,8.3709,76.274,1006.48913,25.315,15.997,1.9392,126.45
2021-04-12 16:00:00,11519.0,6.3882,84.115,1006.43913,24.053,15.995,2.1939,132.15
2021-04-12 17:00:00,3683.0,6.3896,84.787,1006.41913,23.302,15.992,1.8948,131.92
2021-04-12 18:00:00,2999.0,5.2885,89.516,1006.55913,22.679,15.992,0.95638,108.45
2021-04-12 19:00:00,601.0,2.6445,92.88,1006.66913,22.051,15.62,0.9297,148.09
2021-04-12 20:00:00,0.0,3.1959,94.692,1006.71913,21.694,14.481,0.50285,125.85
2021-04-12 21:00:00,0.0,3.7471,96.413,1006.81913,21.582,11.919,0.36205,125.17
2021-04-12 22:00:00,0.0,4.1879,96.368,1007.06913,21.415,12.8,0.44251,116.9
2021-04-12 23:00:00,0.0,4.2982,96.603,1007.00913,21.538,13.226,0.38887,155.48
2021-04-13 00:00:00,0.0,4.5185,94.48,1006.98913,21.549,13.495,0.32182,115.41
2021-04-13 01:00:00,0.0,5.7311,95.798,1006.79913,21.102,9.2918,0.89842,23.823
2021-04-13 02:00:00,0.0,6.6129,98.369,1006.65913,21.057,5.998,0.54978,59.934
2021-04-13 03:00:00,0.0,4.078,93.754,1006.59913,21.258,13.858,0.37993,136.56
2021-04-13 04:00:00,0.0,4.8494,93.966,1006.54913,21.392,13.865,0.42016,175.65
