time,power,irradiance,rh,slp,temp,vis,wind_speed,wind_direction
2022-03-25 01:00:00,0.0,2.8667,99.821,1006.55913,16.819,0.32104,2.5442,97.615
2022-03-25 02:00:00,0.0,2.6462,99.832,1006.26913,16.93,0.22803,2.3027,100.16
2022-03-25 03:00:00,0.0,2.7563,99.832,1005.91913,16.886,0.1945,2.8504,102.08
2022-03-25 04:00:00,0.0,2.646,99.832,1005.88913,16.964,0.25307,1.6521,107.13
2022-03-25 05:00:00,0.0,2.6462,99.81,1006.00913,17.098,0.40286,2.1261,104.11
2022-03-25 06:00:00,0.0,2.7563,99.843,1006.06913,17.4,0.22043,1.4397,91.146
2022-03-25 07:00:00,0.0,7.8271,99.788,1006.19913,17.389,0.19897,1.3324,138.2
2022-03-25 08:00:00,192.25,17.639,99.843,1006.25913,17.947,2.8688,1.2341,71.257
2022-03-25 09:00:00,650.5,17.418,99.865,1006.27913,18.517,4.3675,0.71093,29.723
2022-03-25 10:00:00,1039.0,30.867,99.853,1006.23913,19.388,8.311,0.49183,182.13
2022-03-25 11:00:00,1289.5,79.37,99.829,1006.05913,20.901,0.61516,0.63036,166.19
2022-03-25 12:00:00,4985.5,134.69,99.867,1005.77913,22.495,3.967,2.9459,177.61
2022-03-25 13:00:00,2582.0,85.195,99.844,1005.54913,22.919,7.6138,2.1793,199.13
2022-03-25 14:00:00,4123.5,102.38,99.867,1005.16913,23.568,13.924,6.8776,185.8
2022-03-25 15:00:00,4410.25,19.505,95.061,1004.98913,24.399,15.994,2.8473,192.59
2022-03-25 16:00:00,3556.75,55.983,99.853,1004.85913,24.364,9.6631,1.4594,277.23
2022-03-25 17:00:00,2300.5,35.597,92.252,1004.91913,24.772,15.626,0.61241,242.45
2022-03-25 18:00:00,865.5,15.65,92.165,1004.87913,24.662,15.06,0.9611,188.71
2022-03-25 19:00:00,74.5,3.5269,91.498,1004.93913,24.731,15.992,1.6317,249.34
2022-03-25 20:00:00,0.0,3.7474,91.811,1005.16913,24.642,15.992,1.2383,233.2
2022-03-25 21:00:00,0.0,3.8576,90.917,1005.43913,24.844,15.992,2.3984,268.8
2022-03-25 22:00:00,0.0,3.9679,90.616,1005.55913,24.709,15.815,1.6496,205.05
2022-03-25 23:00:00,0.0,3.7475,91.429,1005.65913,24.708,15.976,1.283,279.97
2022-03-26 00:00:00,0.0,3.968,91.954,1005.63913,24.641,14.845,1.692,194.18
2022-03-26 01:00:00,0.0,3.9677,90.669,1005.32913,24.619,13.647,2.3514,194.48
2022-03-26 02:00:00,0.0,4.2984,89.552,1005.21913,24.731,15.99,1.2651,215.52
2022-03-26 03:00:00,0.0,5.2905,93.821,1005.10913,24.284,13.151,1.3769,184.51
2022-03-26 04:00:00,0.0,5.8418,94.481,1005.02913,24.049,12.837,0.84937,249.06
2022-03-26 05:00:00,0.0,6.2826,94.929,1005.08913,24.105,11.292,0.83149,215.09
2022-03-26 06:00:00,0.0,6.2825,95.309,1005.39913,24.039,9.4227,1.4574,140.79
2022-03-26 07:00:00,0.0,10.25,96.147,1005.67913,24.117,11.293,0.90302,211.18
2022-03-26 08:00:00,1103.5,70.21,96.595,1005.90913,24.352,12.274,1.6585,188.18
2022-03-26 09:00:00,3379.75,111.66,91.597,1006.04913,24.987,14.295,0.86277,205.79
2022-03-26 10:00:00,9233.5,157.59,85.343,1006.15913,26.323,15.64,1.1398,193.91
2022-03-26 11:00:00,10112.5,247.71,81.366,1005.90913,26.818,15.993,2.6504,256.19
2022-03-26 12:00:00,11095.75,157.68,84.203,1005.71913,26.582,15.993,1.0145,15.316
2022-03-26 13:00:00,7956.0,171.57,83.624,1005.47913,26.707,15.994,1.1531,145.49
2022-03-26 14:00:00,10007.0,398.35,81.175,1005.11913,27.085,15.993,1.7475,205.41
2022-03-26 15:00:00,13885.75,161.95,81.24,1004.69913,27.173,14.679,1.5262,254.21
2022-03-26 16:00:00,7904.0,199.42,85.131,1004.72913,26.36,15.976,1.5419,3.7192
2022-03-26 17:00:00,5680.0,73.714,85.035,1004.69913,26.173,15.437,3.0304,261.9
2022-03-26 18:00:00,1017.5,17.962,88.334,1004.89913,25.448,14.373,2.6684,274.27
2022-03-26 19:00:00,147.5,4.4081,89.292,1005.16913,25.332,11.994,1.9401,233.31
2022-03-26 20:00:00,0.0,5.2898,92.571,1005.43913,24.899,9.9695,0.50292,185.39
2022-03-26 21:00:00,0.0,5.2904,94.1,1005.58913,24.596,10.407,0.90524,162.13
2022-03-26 22:00:00,0.0,5.1803,92.289,1005.75913,24.864,12.266,1.0416,229.98
